"ID","unload","duration","stiffness","load.max","trab.sep","k1","OBSBS","OCSBS","MSBS","MAR","BFRBS","k2","BVTV","trab.num","trab.thick","trab.sep","BMD","cort.thick","k3","BMD0","BMD1","BMD2","BMD4","k4"
"511706","0","4wk",447.0589,158.8561,154.8533,1,NA,NA,NA,NA,NA,NA,"0.2404","2.7417","0.1064","0.3531","261.8085","0.672",1,"176.6","178.3","173.9","159.7",1
"511709","4wk","Left Femur",156.9775,155.1553,60424.98333,1,4.02,6.51,6.11,1.65,0.101,0,"0.1953","2.2919","0.1005","0.4455","226.01","0.6464",1,"173.5","165.5","144.8","134.3",1
"515406","1","4wk",359.5285,140.2874,139.379,1,NA,NA,NA,NA,NA,0,"0.0827","1.2647","0.0901","0.8424","140.8095","0.5842",1,"227.1","178.5","139.5999999","227.1",1
"515407","1","4wk",370.6921,183.3252,183.3252,1,1.38,8.05,0.687,1.18,0.00813,0,"0.116","1.3574","0.0926","0.756","163.631","0.64",1,"279.6","264.7","237.9","206",1
"515408","0","4wk",461.1123,186.7521,185.4964,1,3.94,2.21,3.24,1.06,0.0344,0,"0.2637","2.6939","0.1034","0.384","274.9645","0.5866",1,"257.8","251.7","257.1","256.8",1
"519286","1","2wk",368.4802,176.6195,158.8796,1,NA,NA,NA,NA,NA,0,"0.0682","1.242","0.0807","0.8187","129.9804","0.6093",1,NA,NA,NA,NA,NA
"519287","0","2wk",426.0997,169.4257,164.9774,1,NA,NA,NA,NA,NA,0,"0.1241","1.0168","0.0923","1.0485","172.0437","0.635",1,NA,NA,NA,NA,NA
"519288","0","2wk",297.3438,131.0577,129.2416,1,NA,NA,NA,NA,NA,0,"0.1388","2.2291","0.0846","0.4557","192.8963","0.6086",1,NA,NA,NA,NA,NA
"519289","0","2wk",296.6278,160.1535,148.3911,1,4.3,3.15,7.09,2.14,0.151,0,"0.1999","2.2435","0.0957","0.463","228.4264","0.5511",1,NA,NA,NA,NA,NA
"519290","1","2wk",322.7676,163.0279,161.6846,1,NA,NA,NA,NA,NA,0,"0.0893","1.259","0.0986","0.716","149.5801","0.674",1,NA,NA,NA,NA,NA
"519291","1","2wk",337.6462,137.815,132.3577,1,NA,NA,NA,NA,NA,0,"0.0598","0.9349","0.0857","1.0857","129.175","0.6681",1,NA,NA,NA,NA,NA
"519292","1","2wk",379.2095,146.2882,140.1819,1,2.74,6.46,2.04,0.992,0.0202,0,"0.1164","1.4521","0.0843","0.7211","172.3122","0.6051",1,NA,NA,NA,NA,NA
"519293","1","2wk",278.4271,145.1218,112.8615,1,1.75,4.29,4.5,1.48,0.0666,0,"0.0917","1.1702","0.0834","0.9065","146.4478","0.5614",1,NA,NA,NA,NA,NA
